time,temperature_2m,precipitation,cloudcover,windspeed_10m
2025-06-06T00:00,18.4,0.0,29,2.9
2025-06-06T01:00,19.3,0.0,70,3.7
2025-06-06T02:00,19.0,0.0,52,5.9
2025-06-06T03:00,19.0,0.0,63,4.3
2025-06-06T04:00,18.2,0.0,38,4.7
2025-06-06T05:00,18.6,0.0,0,2.3
2025-06-06T06:00,18.4,0.0,21,3.6
2025-06-06T07:00,19.6,0.0,0,3.9
2025-06-06T08:00,22.6,0.0,0,3.4
2025-06-06T09:00,24.4,0.0,58,10.1
2025-06-06T10:00,25.7,0.0,69,11.7
2025-06-06T11:00,26.4,0.0,78,14.5
2025-06-06T12:00,26.7,0.0,70,15.3
2025-06-06T13:00,27.2,0.0,37,15.5
2025-06-06T14:00,27.3,0.0,36,14.8
2025-06-06T15:00,27.5,0.0,0,13.7
2025-06-06T16:00,27.6,0.0,3,13.5
2025-06-06T17:00,27.6,0.0,25,12.5
2025-06-06T18:00,27.3,0.0,19,10.5
2025-06-06T19:00,26.9,0.0,0,6.9
2025-06-06T20:00,25.5,0.0,0,3.4
2025-06-06T21:00,24.0,0.0,23,2.0
2025-06-06T22:00,22.2,0.0,8,2.6
2025-06-06T23:00,20.2,0.0,0,3.1
2025-06-07T00:00,19.5,0.0,0,3.4
2025-06-07T01:00,18.5,0.0,0,3.8
2025-06-07T02:00,18.2,0.0,46,3.1
2025-06-07T03:00,17.8,0.0,1,3.4
2025-06-07T04:00,17.6,0.0,8,4.6
2025-06-07T05:00,17.1,0.0,11,4.1
2025-06-07T06:00,17.0,0.0,37,4.1
2025-06-07T07:00,18.7,0.0,11,3.3
2025-06-07T08:00,22.5,0.0,31,2.6
2025-06-07T09:00,25.7,0.0,28,5.0
2025-06-07T10:00,26.8,0.0,0,7.5
2025-06-07T11:00,27.3,0.0,0,8.0
2025-06-07T12:00,27.1,0.0,0,8.5
2025-06-07T13:00,29.4,0.0,0,9.9
2025-06-07T14:00,29.3,0.0,0,16.6
2025-06-07T15:00,29.4,0.0,0,18.2
2025-06-07T16:00,29.3,0.0,0,17.1
2025-06-07T17:00,28.9,0.0,0,16.3
2025-06-07T18:00,28.4,0.0,0,13.6
2025-06-07T19:00,28.2,0.0,0,10.6
2025-06-07T20:00,27.4,0.0,0,9.5
2025-06-07T21:00,25.8,0.0,0,4.4
2025-06-07T22:00,23.6,0.0,40,4.4
2025-06-07T23:00,22.5,0.0,38,4.7
