time,temperature_2m,precipitation,cloudcover,windspeed_10m
2025-06-06T00:00,19.5,0.0,0,1.9
2025-06-06T01:00,19.0,0.0,0,2.1
2025-06-06T02:00,17.7,0.0,100,1.9
2025-06-06T03:00,17.8,0.0,93,0.8
2025-06-06T04:00,17.8,0.0,0,1.5
2025-06-06T05:00,17.5,0.0,0,0.5
2025-06-06T06:00,17.2,0.0,0,1.0
2025-06-06T07:00,17.6,0.0,3,1.3
2025-06-06T08:00,19.1,0.0,0,1.5
2025-06-06T09:00,20.9,0.0,0,4.1
2025-06-06T10:00,23.3,0.0,58,8.9
2025-06-06T11:00,25.1,0.0,51,11.2
2025-06-06T12:00,26.6,0.0,72,13.2
2025-06-06T13:00,27.4,0.0,9,15.5
2025-06-06T14:00,27.8,0.0,62,15.8
2025-06-06T15:00,28.0,0.0,48,17.4
2025-06-06T16:00,28.1,0.0,40,18.4
2025-06-06T17:00,27.6,0.0,3,18.0
2025-06-06T18:00,26.7,0.0,100,16.2
2025-06-06T19:00,25.8,0.0,95,13.8
2025-06-06T20:00,24.5,0.0,81,11.8
2025-06-06T21:00,23.1,0.0,86,9.5
2025-06-06T22:00,21.9,0.0,4,7.9
2025-06-06T23:00,20.9,0.0,0,6.6
2025-06-07T00:00,20.5,0.0,5,7.6
2025-06-07T01:00,20.1,0.0,5,7.0
2025-06-07T02:00,19.8,0.0,45,7.3
2025-06-07T03:00,19.5,0.0,0,6.0
2025-06-07T04:00,19.2,0.0,0,4.4
2025-06-07T05:00,18.5,0.0,0,1.3
2025-06-07T06:00,18.0,0.0,0,0.8
2025-06-07T07:00,18.6,0.0,0,0.7
2025-06-07T08:00,19.9,0.0,89,1.1
2025-06-07T09:00,21.9,0.0,70,0.7
2025-06-07T10:00,24.1,0.0,74,3.7
2025-06-07T11:00,26.2,0.0,66,9.2
2025-06-07T12:00,28.3,0.0,98,13.7
2025-06-07T13:00,29.3,0.0,65,14.5
2025-06-07T14:00,28.9,0.0,37,16.0
2025-06-07T15:00,29.3,0.0,52,15.2
2025-06-07T16:00,29.4,0.0,15,16.4
2025-06-07T17:00,29.0,0.0,0,16.6
2025-06-07T18:00,28.0,0.0,0,16.1
2025-06-07T19:00,27.0,0.0,0,13.7
2025-06-07T20:00,25.6,0.0,0,9.4
2025-06-07T21:00,24.2,0.0,0,6.2
2025-06-07T22:00,23.1,0.0,0,5.4
2025-06-07T23:00,22.6,0.0,0,4.5
