time,temperature_2m,precipitation,cloudcover,windspeed_10m
2025-06-06T00:00,20.1,0.0,0,5.7
2025-06-06T01:00,18.6,0.0,0,4.4
2025-06-06T02:00,18.1,0.0,0,1.4
2025-06-06T03:00,17.6,0.0,0,1.8
2025-06-06T04:00,17.3,0.0,0,2.9
2025-06-06T05:00,16.8,0.0,100,3.1
2025-06-06T06:00,17.3,0.0,83,2.7
2025-06-06T07:00,18.4,0.0,0,1.4
2025-06-06T08:00,20.0,0.0,0,3.1
2025-06-06T09:00,21.4,0.0,0,5.0
2025-06-06T10:00,23.1,0.0,0,6.8
2025-06-06T11:00,24.9,0.0,0,6.9
2025-06-06T12:00,27.1,0.0,81,1.8
2025-06-06T13:00,28.6,0.0,59,10.5
2025-06-06T14:00,29.9,0.0,25,15.0
2025-06-06T15:00,30.1,0.0,94,15.3
2025-06-06T16:00,30.0,0.0,62,12.7
2025-06-06T17:00,30.2,0.0,41,12.0
2025-06-06T18:00,29.5,0.0,0,15.8
2025-06-06T19:00,28.5,0.0,30,12.0
2025-06-06T20:00,27.2,0.0,0,4.3
2025-06-06T21:00,25.0,0.0,25,1.1
2025-06-06T22:00,23.0,0.0,99,1.5
2025-06-06T23:00,21.4,0.0,83,0.8
2025-06-07T00:00,20.5,0.0,96,0.8
2025-06-07T01:00,20.3,0.0,98,1.3
2025-06-07T02:00,19.0,0.0,84,2.5
2025-06-07T03:00,18.9,0.0,100,4.6
2025-06-07T04:00,17.5,0.0,71,4.7
2025-06-07T05:00,16.9,0.0,100,5.4
2025-06-07T06:00,18.9,0.0,100,5.0
2025-06-07T07:00,20.1,0.0,99,1.8
2025-06-07T08:00,20.9,0.0,81,5.4
2025-06-07T09:00,21.8,0.0,10,7.3
2025-06-07T10:00,23.0,0.0,0,9.4
2025-06-07T11:00,24.4,0.0,0,11.8
2025-06-07T12:00,26.6,0.0,8,13.8
2025-06-07T13:00,29.8,0.0,12,14.5
2025-06-07T14:00,30.3,0.0,97,15.7
2025-06-07T15:00,30.9,0.0,94,17.2
2025-06-07T16:00,30.8,0.0,56,15.9
2025-06-07T17:00,30.9,0.0,3,16.5
2025-06-07T18:00,30.1,0.0,0,16.4
2025-06-07T19:00,28.9,0.0,0,15.5
2025-06-07T20:00,27.6,0.0,0,10.9
2025-06-07T21:00,25.2,0.0,0,3.6
2025-06-07T22:00,21.5,0.0,59,18.6
2025-06-07T23:00,20.4,0.0,0,9.1
